Cr204	NGC2682
Cr206	NGC2818
Cr207	NGC2849
Cr208	IC2488
Cr209	NGC2910
Cr210	NGC2925
Cr211	NGC2972
Cr212	NGC3033
Cr214	NGC3105
Cr215	NGC3114
Cr218	NGC3228
Cr221	NGC3255
Cr222	IC2581
Cr224	NGC3293
Cr225	NGC3324
Cr226	NGC3330
Cr229	IC2602
Cr237	NGC3496
Cr238	NGC3532
Cr239	NGC3572
Cr242	NGC3590
Cr244	NGC3603
Cr245	IC2714
Cr247	NGC3680
Cr248	NGC3766
Cr250	NGC3960
Cr251	NGC4052
Cr252	NGC4103
Cr253	NGC4230
Cr254	NGC4337
Cr255	NGC4349
Cr259	NGC4439
Cr260	NGC4463
Cr263	NGC4609
Cr264	NGC4755
Cr265	NGC4815
Cr266	NGC4852
Cr267	NGC5053
Cr270	NGC5138
Cr273	NGC5168
Cr276	NGC5281
Cr278	NGC5288
Cr279	NGC5316
Cr280	NGC5460
Cr281	NGC5606
Cr282	NGC5617
Cr284	NGC5662
Cr286	NGC5715
Cr287	NGC5749
Cr288	NGC5764
Cr289	NGC5822
Cr290	NGC5823
Cr291	NGC5925
Cr293	NGC5999
Cr294	NGC6005
Cr296	NGC6025
Cr297	NGC6031
Cr298	NGC6067
Cr300	NGC6087
Cr301	NGC6124
Cr303	NGC6134
Cr304	NGC6152
Cr305	NGC6167
Cr306	NGC6169
Cr308	NGC6178
Cr309	NGC6192
Cr310	NGC6193
Cr311	NGC6200
Cr312	NGC6204
Cr313	NGC6208
Cr314	NGC6222
Cr315	NGC6231
Cr317	NGC6242
Cr319	NGC6249
Cr320	NGC6250
Cr321	NGC6253
Cr322	NGC6259
Cr323	NGC6268
Cr324	NGC6281
Cr325	NGC6318
Cr326	NGC6322
Cr327	IC4651
Cr328	NGC6352
Cr330	NGC6355
Cr334	NGC6374
Cr335	NGC6383
Cr339	NGC6396
Cr340	NGC6404
Cr341	NGC6405
Cr342	NGC6400
Cr344	NGC6416
Cr346	NGC6426
Cr348	NGC6425
Cr349	IC4665
Cr352	NGC6451
Cr353	NGC6469
Cr354	NGC6475
Cr356	NGC6494
Cr358	NGC6507
Cr360	NGC6514
Cr361	NGC6520
Cr362	NGC6530
Cr363	NGC6531
Cr364	NGC6540
Cr365	NGC6546
Cr366	NGC6544
Cr368	NGC6558
Cr369	NGC6568
Cr370	NGC6583
Cr371	NGC6595
Cr373	NGC6604
Cr374	NGC6603
Cr375	NGC6611
Cr376	NGC6613
Cr377	NGC6618
Cr379	NGC6631
Cr380	NGC6633
Cr381	NGC6642
Cr382	IC4725
Cr383	NGC6645
Cr384	NGC6649
Cr385	NGC6664
Cr386	IC4756
Cr389	NGC6694
Cr390	NGC6704
Cr391	NGC6705
Cr392	NGC6709
Cr393	NGC6716
Cr395	NGC6717
Cr396	NGC6738
Cr397	NGC6755
Cr398	NGC6756
Cr400	NGC6802
Cr402	NGC6811
Cr403	NGC6819
Cr404	NGC6820
Cr405	NGC6823
Cr406	NGC6830
Cr407	NGC6834
Cr409	NGC6838
Cr410	NGC6846
Cr412	NGC6866
Cr413	NGC6871
Cr414	IC1311
Cr415	NGC6883
Cr416	NGC6882
Cr417	NGC6885
Cr418	IC4996
Cr420	NGC6910
Cr422	NGC6913
Cr423	NGC6939
Cr424	NGC6940
Cr425	NGC6996
Cr426	NGC6994
Cr429	NGC7023
Cr430	NGC7031
Cr431	NGC7039
Cr432	IC1369
Cr433	NGC7044
Cr434	NGC7062
Cr435	NGC7063
Cr436	NGC7067
Cr437	NGC7086
Cr438	NGC7092
Cr439	IC1396
Cr440	NGC7128
Cr441	NGC7129
Cr442	NGC7142
Cr443	NGC7160
Cr444	NGC7209
Cr445	IC1434
Cr446	NGC7226
Cr447	NGC7235
Cr448	NGC7243
Cr449	NGC7245
Cr450	NGC7261
Cr451	NGC7296
Cr452	NGC7380
Cr453	NGC7419
Cr454	NGC7510
Cr455	NGC7654
Cr456	NGC7686
Cr457	NGC7762
Cr459	NGC7788
Cr460	NGC7789
Cr461	NGC7790
Cr462	NGC189
Cr470	IC5146
Mel1	NGC104
Mel2	NGC188
Mel3	NGC288
Mel4	NGC362
Mel5	NGC371
Mel6	NGC436
Mel7	NGC457
Mel8	NGC581
Mel9	NGC654
Mel10	NGC659
Mel11	NGC663
Mel12	NGC752
Mel13	NGC869
Mel14	NGC884
Mel15	IC1805
Mel16	NGC1027
Mel17	NGC1039
Mel18	NGC1245
Mel19	NGC1261
Mel21	NGC1342
Mel23	NGC1528
Mel24	IC361
Mel26	NGC1647
Mel27	NGC1664
Mel28	NGC1746
Mel29	NGC1807
Mel30	NGC1851
Mel32	NGC1857
Mel33	NGC1893
Mel34	NGC1904
Mel35	NGC1907
Mel36	NGC1912
Mel37	NGC1960
Mel38	NGC2099
Mel39	NGC2126
Mel40	NGC2158
Mel41	NGC2168
Mel42	NGC2192
Mel43	NGC2194
Mel44	NGC2204
Mel45	NGC2215
Mel46	NGC2243
Mel47	NGC2244
Mel48	NGC2259
Mel49	NGC2264
Mel50	NGC2266
Mel51	NGC2281
Mel52	NGC2287
Mel53	NGC2298
Mel54	NGC2301
Mel55	NGC2304
Mel56	NGC2309
Mel57	NGC2314
Mel58	NGC2323
Mel59	NGC2324
Mel60	NGC2335
Mel61	NGC2345
Mel62	NGC2353
Mel63	NGC2355
Mel64	NGC2360
Mel65	NGC2362
Mel67	NGC2421
Mel68	NGC2422
Mel69	NGC2420
Mel70	NGC2423
Mel73	NGC2432
Mel74	NGC2439
Mel75	NGC2437
Mel76	NGC2447
Mel77	NGC2455
Mel78	NGC2477
Mel79	NGC2489
Mel80	NGC2506
Mel81	NGC2509
Mel82	NGC2516
Mel83	NGC2539
Mel84	NGC2547
Mel85	NGC2548
Mel86	NGC2567
Mel87	NGC2627
Mel88	NGC2632
Mel89	NGC2635
Mel90	NGC2658
Mel91	NGC2659
Mel92	NGC2660
Mel93	NGC2670
Mel94	NGC2682
Mel95	NGC2808
Mel96	NGC2818
Mel97	IC2488
Mel98	NGC3114
Mel99	NGC3201
Mel100	NGC3293
Mel102	IC2602
Mel103	NGC3532
Mel104	IC2714
Mel106	NGC3680
Mel107	NGC3766
Mel108	NGC3960
Mel109	NGC4103
Mel110	NGC4349
Mel112	NGC4372
Mel113	NGC4590
Mel114	NGC4755
Mel115	NGC4833
Mel116	NGC4852
Mel117	NGC5024
Mel118	NGC5139
Mel119	NGC5272
Mel120	NGC5281
Mel121	NGC5286
Mel122	NGC5316
Mel123	NGC5460
Mel124	NGC5466
Mel125	NGC5617
Mel126	NGC5634
Mel127	NGC5662
Mel128	NGC5715
Mel129	IC4499
Mel130	NGC5822
Mel131	NGC5823
Mel132	NGC5897
Mel133	NGC5904
Mel134	NGC5927
Mel135	NGC5946
Mel136	NGC5986
Mel137	NGC5999
Mel138	NGC6005
Mel139	NGC6025
Mel140	NGC6067
Mel141	NGC6087
Mel142	NGC6093
Mel143	NGC6101
Mel144	NGC6121
Mel145	NGC6124
Mel146	NGC6134
Mel147	NGC6144
Mel148	NGC6171
Mel149	NGC6192
Mel150	NGC6205
Mel151	NGC6218
Mel152	NGC6216
Mel153	NGC6231
Mel154	NGC6235
Mel155	NGC6242
Mel156	NGC6253
Mel157	NGC6254
Mel158	NGC6259
Mel159	NGC6266
Mel160	NGC6273
Mel161	NGC6281
Mel162	NGC6284
Mel163	NGC6287
Mel164	NGC6293
Mel165	NGC6304
Mel166	NGC6318
Mel167	NGC6333
Mel168	NGC6341
Mel169	IC4651
Mel170	NGC6352
Mel171	NGC6356
Mel172	NGC6362
Mel173	NGC6366
Mel174	NGC6388
Mel175	NGC6402
Mel176	NGC6397
Mel177	NGC6400
Mel178	NGC6405
Mel179	IC4665
Mel180	NGC6441
Mel181	NGC6451
Mel182	NGC6469
Mel183	NGC6475
Mel184	NGC6494
Mel185	NGC6496
Mel187	NGC6520
Mel188	NGC6531
Mel189	NGC6535
Mel190	NGC6539
Mel191	NGC6541
Mel192	NGC6544
Mel193	NGC6553
Mel194	NGC6558
Mel195	NGC6569
Mel196	NGC6584
Mel197	IC4715
Mel198	NGC6611
Mel199	NGC6624
Mel200	NGC6626
Mel201	NGC6633
Mel202	NGC6637
Mel203	NGC6642
Mel204	IC4725
Mel205	NGC6645
Mel206	NGC6649
Mel207	NGC6652
Mel208	NGC6656
Mel209	NGC6664
Mel210	IC4756
Mel211	NGC6681
Mel212	NGC6694
Mel213	NGC6705
Mel214	NGC6709
Mel215	NGC6712
Mel216	NGC6715
Mel217	NGC6723
Mel218	NGC6752
Mel219	NGC6760
Mel220	NGC6779
Mel221	NGC6809
Mel222	NGC6811
Mel223	NGC6819
Mel224	NGC6830
Mel225	NGC6834
Mel226	NGC6838
Mel228	NGC6864
Mel229	NGC6866
Mel230	NGC6934
Mel231	NGC6939
Mel232	NGC6940
Mel233	NGC6981
Mel234	NGC7078
Mel235	NGC7089
Mel236	NGC7092
Mel237	NGC7099
Mel238	NGC7209
Mel239	IC1434
Mel240	NGC7243
Mel241	NGC7245
Mel242	NGC7492
Mel243	NGC7654
Mel244	NGC7762
Mel245	NGC7789
M1	NGC1952
M2	NGC7089
M3	NGC5272
M4	NGC6121
M5	NGC5904
M6	NGC6405
M7	NGC6475
M8	NGC6523
M9	NGC6333
M10	NGC6254
M11	NGC6705
M12	NGC6218
M13	NGC6205
M14	NGC6402
M15	NGC7078
M16	NGC6611
M17	NGC6618
M18	NGC6613
M19	NGC6273
M20	NGC6514
M21	NGC6531
M22	NGC6656
M23	NGC6494
M24	IC4715
M25	IC4725
M26	NGC6694
M27	NGC6853
M28	NGC6626
M29	NGC6913
M30	NGC7099
M31	NGC224
M32	NGC221
M33	NGC598
M34	NGC1039
M35	NGC2168
M36	NGC1960
M37	NGC2099
M38	NGC1912
M39	NGC7092
M40	IC8127
M41	NGC2287
M42	NGC1976
M43	NGC1982
M44	NGC2632
M45	IC8126
M46	NGC2437
M47	NGC2422
M48	NGC2548
M49	NGC4472
M50	NGC2323
M51	NGC5194
M52	NGC7654
M53	NGC5024
M54	NGC6715
M55	NGC6809
M56	NGC6779
M57	NGC6720
M58	NGC4579
M59	NGC4621
M60	NGC4649
M61	NGC4303
M62	NGC6266
M63	NGC5055
M64	NGC4826
M65	NGC3623
M66	NGC3627
M67	NGC2682
M68	NGC4590
M69	NGC6637
M70	NGC6681
M71	NGC6838
M72	NGC6981
M73	NGC6994
M74	NGC628
M75	NGC6864
M76	NGC650
M77	NGC1068
M78	NGC2068
M79	NGC1904
M80	NGC6093
M81	NGC3031
M82	NGC3034
M83	NGC5236
M84	NGC4374
M85	NGC4382
M86	NGC4406
M87	NGC4486
M88	NGC4501
M89	NGC4552
M90	NGC4569
M91	NGC4548
M92	NGC6341
M93	NGC2447
M94	NGC4736
M95	NGC3351
M96	NGC3368
M97	NGC3587
M98	NGC4192
M99	NGC4254
M100	NGC4321
M101	NGC5457
M102	NGC5866
M103	NGC581
M104	NGC4594
M105	NGC3379
M106	NGC4258
M107	NGC6171
M108	NGC3556
M109	NGC3992
M110	NGC205
C1	NGC188
C2	NGC40
C3	NGC4236
C4	NGC7023
C5	IC342
C6	NGC6543
C7	NGC2403
C8	NGC559
C9	IC8128
C10	NGC663
C11	NGC7635
C12	NGC6946
C13	NGC457
C14	NGC869
C15	NGC6826
C16	NGC7243
C17	NGC147
C18	NGC185
C19	IC5146
C20	NGC7000
C21	NGC4449
C22	NGC7662
C23	NGC891
C24	NGC1275
C25	NGC2419
C26	NGC4244
C27	NGC6888
C28	NGC752
C29	NGC5005
C30	NGC7331
C31	IC405
C32	NGC4631
C33	NGC6992
C34	NGC6960
C35	NGC4889
C36	NGC4559
C37	NGC6885
C38	NGC4565
C39	NGC2392
C40	NGC3626
C41	IC8129
C42	NGC7006
C43	NGC7814
C44	NGC7479
